N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1739,미래에셋 인버스 원유선물혼합 ETN(H),"4,145",170,+4.28%,0,41,"1,000",0.00,"24,094",N/A,N/A,
1740,ARIRANG 중형주저변동50,"11,740",215,-1.80%,0,41,350,0.00,124,N/A,N/A,
1741,KODEX 골드선물인버스(H),"6,655",55,+0.83%,0,40,600,0.00,"10,224",N/A,N/A,
1742,TRUE 레버리지 HSCEI ETN(H),"3,880",295,-7.07%,0,39,"1,000",0.00,"146,901",N/A,N/A,
1743,KBSTAR 모멘텀로우볼,"15,480",150,-0.96%,0,39,250,0.00,5,N/A,N/A,
1744,KBSTAR 미국장기국채선물인버스2X(합성 H),"7,670",125,-1.60%,0,38,500,0.00,"6,339",N/A,N/A,
1745,대신 인버스 아연선물 ETN(H),"5,380",150,+2.87%,0,38,700,0.00,"4,174",N/A,N/A,
1746,ARIRANG 주도업종,"9,345",195,-2.04%,0,37,400,12.50,49,N/A,N/A,
1747,KBSTAR 200커뮤니케이션서비스,"15,260",385,-2.46%,0,37,240,0.00,65,N/A,N/A,
1748,삼성 레버리지 KRX BBIG K-뉴딜 ETN,"3,620",140,-3.72%,0,36,"1,000",0.00,"1,157",N/A,N/A,
1749,하나 레버리지 KRX BBIG K-뉴딜 ETN,"3,620",130,-3.47%,0,36,"1,000",0.00,33,N/A,N/A,
1750,KB 레버리지 KRX BBIG K-뉴딜 ETN,"3,605",120,-3.22%,0,36,"1,000",0.00,622,N/A,N/A,
1751,ARIRANG KS퀄리티가중TR,"14,180",275,-1.90%,0,35,250,0.00,"1,290",N/A,N/A,
1752,KBSTAR 코스닥150선물인버스,"4,930",125,+2.60%,0,35,700,0.23,"42,727",N/A,N/A,
1753,삼성 레버리지 HSCEI ETN(H),"3,375",205,-5.73%,0,34,"1,000",0.00,"8,030",N/A,N/A,
1754,동양3우B,"37,500",800,-2.09%,500,34,90,0.40,"2,671",551.47,N/A,
1755,ARIRANG ESG우수기업,"9,445",110,-1.15%,0,33,350,0.00,164,N/A,N/A,
1756,신원우,"36,000",800,-2.17%,500,33,91,0.85,"1,049",260.87,N/A,
1757,KBSTAR 200철강소재,"9,950",255,-2.50%,0,30,300,0.00,"29,276",N/A,N/A,
1758,KBSTAR 팔라듐선물인버스(H),"4,135",185,+4.68%,0,29,700,0.00,"7,955",N/A,N/A,
1759,KBSTAR 미국장기국채선물레버리지(합성 H),"9,605",125,+1.32%,0,29,300,0.00,43,N/A,N/A,
1760,ARIRANG KRX300헬스케어,"8,710",175,-1.97%,0,26,300,16.67,231,N/A,N/A,
1761,신한 인버스 브렌트원유 선물 ETN(H),"2,535",80,+3.26%,0,25,"1,000",0.00,"7,991",N/A,N/A,
1762,ARIRANG 코스닥150,"12,410",325,-2.55%,0,25,200,7.50,520,N/A,N/A,
1763,TIGER 가격조정,"23,270",500,-2.10%,0,23,100,0.00,127,N/A,N/A,
1764,KBSTAR 모멘텀밸류,"14,430",200,-1.37%,0,22,150,0.00,258,N/A,N/A,
1765,KBSTAR 국채선물10년,"51,010",495,+0.98%,0,20,40,0.00,115,N/A,N/A,
1766,KBSTAR 200생활소비재,"7,360",110,-1.47%,0,18,240,0.00,"1,243",N/A,N/A,
1767,KBSTAR 200에너지화학,"11,350",160,-1.39%,0,16,140,0.00,"1,506",N/A,N/A,
1768,KBSTAR 200경기소비재,"9,990",195,-1.91%,0,10,100,0.00,"4,890",N/A,N/A,
1769,KBSTAR 200산업재,"11,740",250,-2.09%,0,7,60,0.00,7,N/A,N/A,
